"Group.1" "Group.2" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.."
"WALKING" 1 -0.00640950010526316 0.09707751822 -0.371176005757895 -0.0413864410526316 -1.25347098273684 -1.01582009010526 -0.03957396912 0.0952746103568421 -0.506868194704211 -0.515366449420737 -0.124137814871053 -0.259321812169474 -0.297419397128421 -0.344311381577895 -0.450386382133684 -0.356659822188421 -0.356659822188421 -0.215900559094105 -0.347957917063158 -0.624028557978947 -0.521929025905263 0.145752733248105 -0.611246869284211 -0.304133570875895 0.0715143330229368 -1.00371266505263 -0.855724135852632 -0.136567576223158 -0.692503167789474 -0.526656037471579 -0.160611803036421 -0.520270522881053 -0.700910505568421
"WALKING_UPSTAIRS" 1 -0.0992463354716981 -0.0262734142813208 -0.116781240941509 -0.0630159303773585 -1.31500259754717 -0.987782350132075 -0.345471157813208 -0.358788118418868 -0.752156075854717 -0.494321724773585 -0.162064831290566 -0.448809128507547 -0.737019276501887 -0.643845244677358 -0.647044555029623 -0.454898559981132 -0.454898559981132 -0.945495068301887 -0.275354908022642 -1.24343590943396 -0.741749972830189 -0.169207210154717 -0.347393147690566 -0.941782271509434 -0.795221652830189 -1.41151455471698 -1.05850415867925 -0.167935703490566 -1.02530505301887 -0.768656046226415 -0.975712016226415 -0.508946975660377 -1.32859560358491
"WALKING_DOWNSTAIRS" 1 0.319223658756551 -0.0418544480591837 -0.338000404112245 -0.0186853926530612 -1.20362899795918 -0.958059653695918 0.041871455944898 -0.0719509416 -0.356707005344898 -0.493108733237755 -0.217286323959184 -0.0346174400397959 -0.560986545872041 -0.282815105867347 -0.29580758634898 0.0470726420371429 0.0470726420371429 -0.115235200506122 -0.301465622428571 -0.601974488877551 0.0625600222897959 -0.111413832117143 -0.523502366387755 -0.113991764252449 -0.263247166526531 -0.6900562 -0.847872117465306 -0.237116981126531 -0.270312992504082 -0.0899457667693878 -0.0778337657938775 -0.584070675867347 -0.673883235789796
"SITTING" 1 -0.71599144287234 -0.923926929566596 -1.04413047331915 -0.136947212340426 -0.731105463276596 -0.616997230425532 -0.908948191319149 -0.981991068104255 -0.991278596818298 -1.02256133970426 -1.05839805025532 -0.878494539659574 -1.08541097285106 -1.02972988093617 -1.03463843338298 -1.87561520489362 -1.87561520489362 -1.97148421957447 -1.86542433042553 -1.98028506978723 -1.95605355191489 -1.86135955680851 -1.89365444723404 -1.97409001702128 -1.96409337659574 -1.97439227723404 -1.95406569106383 -1.93818362787234 -1.89523338553192 -1.87622772425532 -1.96686830425532 -1.89063396425532 -1.97684716446809
"STANDING" 1 -0.71684227245283 -0.989327646518868 -1.09037769471698 -0.0508109847169811 -1.25420979018868 -0.962833481262264 -0.919227888037736 -0.977673001524528 -0.995936426905585 -1.0111796814017 -1.04713166098113 -0.905844875981132 -1.09255431988679 -1.03920070515094 -1.04105901384151 -1.96622113622642 -1.96622113622642 -1.985464 -1.95518382150943 -1.98970002924528 -1.99127827773585 -1.94936394981132 -1.96323435830189 -1.98970455660377 -1.97243693132075 -1.98310198415094 -1.97388391471698 -1.97609218358491 -1.96311845283019 -1.96767016584906 -1.9850784809434 -1.9630836954717 -1.98948650018868
"LAYING" 1 -0.70645822526 -0.8773413590494 -0.939264955208 -1.14571181668 -0.2021702333 -0.40654857042 -0.8773955778 -0.9203110695912 -0.944020874439 -0.890096961798 -1.015576564288 -0.75959522634 -1.025879469992 -1.00942453049 -1.0318402807 -1.63707401636 -1.63707401636 -1.882641893 -1.69376971776 -1.8993020128 -1.863536487 -1.70069076128 -1.69555843564 -1.9212345924 -1.8546804802 -1.9086478914 -1.732545625386 -1.9034235442 -1.8258852292 -1.6600685885 -1.8551043364 -1.68650962508 -1.8750276142
"WALKING" 2 -0.147216252033898 -0.0966861732264407 -0.530757882881356 -0.0596758679661017 -1.31872396966102 -0.887345760508475 -0.215722392992373 0.0016470316440678 -0.578195081916949 -0.614576071497458 -0.586691899491525 -0.398251871762712 -0.471433174440678 -0.687970381008475 -0.486986592971186 -0.712951763050848 -0.712951763050848 -0.445575139008475 -0.999569009152542 -1.10571010169492 -0.803699544745763 -0.191124496535593 -0.909028516271186 -0.618928386288136 -0.0940970356694915 -1.17085489813559 -1.03376655525424 -1.08781906474576 -0.956516542542373 -0.901394639627119 -0.333156322262712 -1.18249765440678 -1.14135384813559
"WALKING_UPSTAIRS" 2 -0.0572116160625 0.086615166685 -0.264634920741667 -0.14369032125 -1.33998234416667 -1.07389229576667 -0.201671102521875 -0.195358809364167 -0.55426491325 -0.496944322416667 -0.49838664640625 -0.0951583895125 -0.547740163258333 -0.687896708554167 -0.512111709204167 -0.313299724816667 -0.313299724816667 -0.538658305622917 -0.5972456405625 -1.17010815770833 -0.587303347645833 0.094804737926875 -0.375546962633333 -0.6240548811875 -0.431396278379167 -1.14781904479167 -0.808002423083333 -0.947844612916667 -0.466673593479167 -0.51204678290625 -0.449934975864583 -0.889232586666667 -1.22261869916667
"WALKING_DOWNSTAIRS" 2 0.323982029508511 0.240220373114894 -0.219650850446809 -0.0785304140425532 -1.26584862617021 -0.97532732946383 0.257289758807872 0.123548423742553 -0.361057190968085 -0.436736582880851 -0.420562437212766 -0.18224457913617 -0.302044442404255 -0.511543726859574 -0.289289300295745 0.305537455387234 0.305537455387234 0.235272348478723 -0.43703269746234 -0.754060546893617 0.128945780185106 0.450319014723404 -0.293323666287234 0.188079743570213 0.177042509889362 -0.679726144297872 -0.525212644768085 -0.820646571446809 -0.510482138714894 0.271946038419149 0.449728142119149 -0.693415298914894 -0.723874291914894
"SITTING" 2 -0.709734927826087 -0.966392492858696 -1.06904644419565 -0.039511487826087 -1.06238029754226 -0.755689104282609 -0.915799415413043 -0.966288504302391 -0.979912742440435 -1.03121268986957 -1.03884820666087 -0.918575962478261 -1.08334186432609 -1.03244981769565 -1.02912742230217 -1.92097506804348 -1.92097506804348 -1.97125058108696 -1.90734871130435 -1.98067641347826 -1.97316593065217 -1.9074172526087 -1.92702503673913 -1.97730790108696 -1.95794393130435 -1.97369985434783 -1.96942989108696 -1.9594571123913 -1.92333748217391 -1.91684935043478 -1.96799888478261 -1.93322634130435 -1.97949485978261
"STANDING" 2 -0.709360417037037 -0.975725816275926 -1.05565038735185 -0.0897572518518519 -1.34425711722222 -0.816179917481481 -0.906326855796296 -0.960730262150185 -0.991213034948704 -0.996861017386111 -1.05348165424074 -0.877021532303704 -1.08488615862963 -1.02568921205556 -1.02826406627593 -1.9237501462963 -1.9237501462963 -1.95716435759259 -1.91740972222222 -1.96115633203704 -1.97300320962963 -1.91778053962963 -1.90890477925926 -1.96398116537037 -1.94437157907407 -1.96437505722222 -1.94202523666667 -1.94361220333333 -1.93038199185185 -1.92457154796296 -1.95222575555556 -1.91856463055556 -1.95560412555556
